Tree ID,Planting Date,Height (m),Status,Health,spc_latin,spc_common,Borough Code,Latitude,Longitude
111925,2016-08-02,7,True,Good,Styphnolobium japonicum,Sophora,3,40.66753768,-73.9608877
396640,2016-10-29,14,True,Good,Zelkova serrata,Japanese zelkova,3,40.63603163,-73.96933136
344889,2016-10-18,30,True,Good,Platanus x acerifolia,London planetree,4,40.76179538,-73.79146197
476558,2016-11-21,1,True,Good,Zelkova serrata,Japanese zelkova,5,40.63416479,-74.13495421
589675,2016-06-16,15,True,Fair,Platanus x acerifolia,London planetree,4,40.65296231,-73.73070629
565648,2016-05-25,13,True,Poor,Quercus palustris,pin oak,4,40.77157429,-73.8309775
486442,2016-11-28,31,True,Good,Quercus palustris,pin oak,4,40.78290059,-73.81874852
057702,2016-07-09,8,True,Good,Cercis canadensis,eastern redbud,3,40.63862317,-73.96526057
412686,2016-11-02,4,True,Fair,Pyrus calleryana,Callery pear,4,40.59765298,-73.79366571
700067,2016-09-06,6,True,Good,Quercus palustris,pin oak,4,40.76589723,-73.76337507
116803,2016-08-04,13,True,Good,Tilia tomentosa,silver linden,4,40.73496344,-73.91852455
556130,2016-05-03,4,True,Good,Cercidiphyllum japonicum,katsura tree,2,40.80768759,-73.85099735
684492,2016-08-26,20,True,Good,Acer platanoides,Norway maple,3,40.63935571,-73.91879764
168890,2016-08-23,13,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.76554672,-73.93243521
388299,2016-10-27,2,True,Good,Celtis occidentalis,common hackberry,4,40.74310371,-73.81752008
270055,2016-09-29,23,True,Fair,Platanus x acerifolia,London planetree,2,40.82672923,-73.81589786
318053,2016-10-13,21,True,Good,Platanus x acerifolia,London planetree,3,40.60811622,-73.91345555
499769,2016-12-07,5,True,Good,Quercus palustris,pin oak,5,40.51595893,-74.19622016
106834,2016-07-31,7,True,Good,"Acer platanoides 'Crimson King'",crimson king maple,5,40.5844056,-74.09833468
621763,2016-07-11,18,True,Good,Quercus palustris,pin oak,3,40.64454344,-74.01836187
367359,2016-10-23,3,True,Good,Maackia amurensis,Amur maackia,2,40.84005319,-73.84747654
099692,2016-07-28,6,True,Good,Gleditsia triacanthos var. inermis,honeylocust,3,40.66473426,-73.87663012
259813,2016-09-25,5,True,Good,Gleditsia triacanthos var. inermis,honeylocust,4,40.76194026,-73.91981895
436885,2016-11-06,5,True,Good,Aesculus glabra,Ohio buckeye,3,40.65886995,-73.885213
145112,2016-08-14,6,True,Good,Pyrus calleryana,Callery pear,1,40.71976749,-73.99706864
191833,2016-08-31,19,True,Good,Platanus x acerifolia,London planetree,3,40.67546812,-73.99929655
146062,2016-08-15,2,True,Good,Quercus palustris,pin oak,4,40.75665001,-73.88739785
411109,2016-11-01,10,True,Good,Quercus bicolor,swamp white oak,3,40.70041833,-73.95144709
463639,2016-11-17,3,True,Good,Crataegus,hawthorn,2,40.83221007,-73.89472694
505185,2016-12-08,5,True,Fair,Acer rubrum,red maple,2,40.81124517,-73.85793949
651700,2016-08-02,2,True,Good,Eucommia ulmoides,hardy rubber tree,3,40.60668154,-73.99998006
004792,2016-05-28,6,True,Fair,Celtis occidentalis,common hackberry,2,40.83509803,-73.92655233
277221,2016-10-02,3,True,Good,Betula papyrifera,paper birch,1,40.70744062,-74.00768779
673788,2016-08-21,10,True,Good,Prunus,cherry,4,40.72662305,-73.89646943
232506,2016-09-17,8,True,Good,Pyrus calleryana,Callery pear,4,40.74982235,-73.90022263
408629,2016-10-31,28,True,Good,Quercus palustris,pin oak,2,40.87491797,-73.86578252
007520,2016-06-01,2,True,Poor,Liriodendron tulipifera,tulip-poplar,2,40.81630213,-73.86753879
015017,2016-06-09,14,True,Fair,Gleditsia triacanthos var. inermis,honeylocust,3,40.67905649,-73.92181208
600784,2016-06-24,26,True,Good,Platanus x acerifolia,London planetree,4,40.7509731,-73.78952657
211244,2016-09-09,47,True,Good,Quercus palustris,pin oak,2,40.90213823,-73.84164633
400429,2016-10-29,9,True,Good,Acer ginnala,Amur maple,4,40.67344658,-73.80276052
619752,2016-07-09,3,True,Good,Tilia cordata,littleleaf linden,4,40.70556412,-73.86563279
323857,2016-10-14,29,True,Good,Platanus x acerifolia,London planetree,4,40.74660087,-73.77429618
251651,2016-09-23,4,True,Good,Cercis canadensis,eastern redbud,2,40.83589274,-73.8402521
068069,2016-07-15,34,True,Good,Quercus palustris,pin oak,4,40.68566509,-73.76152746
569380,2016-05-30,16,True,Good,Acer saccharinum,silver maple,4,40.68207819,-73.83158571
384592,2016-10-27,6,True,Good,Prunus,cherry,5,40.61627053,-74.09023233
561034,2016-05-18,21,True,Good,Aesculus glabra,Ohio buckeye,4,40.69581816,-73.75684799
697455,2016-09-05,5,True,Good,Zelkova serrata,Japanese zelkova,4,40.68656224,-73.80512057
376826,2016-10-26,14,True,Good,Acer saccharinum,silver maple,5,40.53366086,-74.20678056
550003,2016-03-09,20,True,Poor,Acer platanoides,Norway maple,5,40.64413891,-74.07964895
502204,2016-12-07,13,True,Good,Fraxinus,ash,2,40.85404439,-73.8492187
655893,2016-08-05,4,True,Good,Prunus,cherry,4,40.73702676,-73.8987966
128101,2016-08-08,5,True,Good,Ginkgo biloba,ginkgo,3,40.69219198,-73.945743
085017,2016-07-22,4,True,Fair,Pyrus calleryana,Callery pear,3,40.58696741,-73.99198002
412148,2016-11-01,16,True,Fair,Quercus palustris,pin oak,3,40.62015097,-73.97565933
271336,2016-09-30,4,True,Fair,Prunus,cherry,1,40.72430617,-74.00203582
087553,2016-07-22,7,True,Good,Pyrus calleryana,Callery pear,4,40.74952593,-73.88434587
446742,2016-11-11,2,False,,,,3,40.6479739,-73.92808963
264421,2016-09-27,8,True,Fair,Acer ginnala,Amur maple,4,40.7593783,-73.88233551
311721,2016-10-11,26,True,Good,Ulmus americana,American elm,1,40.78054335,-73.96127536
549977,2016-03-09,17,True,Good,Acer platanoides,Norway maple,5,40.63024442,-74.08287824
137132,2016-08-11,7,True,Poor,Styphnolobium japonicum,Sophora,4,40.71075962,-73.89950353
282704,2016-10-05,16,True,Poor,Pyrus calleryana,Callery pear,5,40.62449285,-74.10988166
092459,2016-07-25,13,True,Fair,Acer platanoides,Norway maple,4,40.70653733,-73.90838788
034207,2016-06-24,4,True,Good,Gleditsia triacanthos var. inermis,honeylocust,1,40.72833187,-74.00195772
398651,2016-10-29,13,True,Good,Zelkova serrata,Japanese zelkova,3,40.60621245,-73.94488383
356168,2016-10-21,2,True,Good,Crataegus,hawthorn,5,40.61682475,-74.14611796
031494,2016-06-23,8,True,Good,Quercus rubra,northern red oak,4,40.70238651,-73.87446009
667876,2016-08-17,7,True,Fair,Prunus,cherry,4,40.66111251,-73.76470593
505409,2016-12-09,4,True,Good,Pyrus calleryana,Callery pear,5,40.53127359,-74.19228236
425743,2016-11-04,3,True,Good,Malus,crab apple,3,40.62575416,-73.94763773
386845,2016-10-27,6,True,Good,Tilia cordata,littleleaf linden,5,40.61431971,-74.08466765
613386,2016-07-04,30,True,Good,Platanus x acerifolia,London planetree,3,40.66672939,-73.93959009
030761,2016-06-23,18,True,Good,Platanus x acerifolia,London planetree,4,40.72953167,-73.85025016
